replication,degree,method,bandwidth,validation_mean_nv_loss,validation_mean_effective_n
0,0,KO,0.25,0.19008764698153527,528.26
0,1,KPQR-1,0.25,0.10450026811590421,528.26
0,2,KPQR-2,0.25,0.09904093168342518,528.26
1,0,KO,0.25,0.18694378261863712,532.99
1,1,KPQR-1,0.25,0.10084138583844901,532.99
1,2,KPQR-2,0.25,0.09588067403511072,532.99
2,0,KO,0.25,0.17135310510538382,527.36
2,1,KPQR-1,0.25,0.09670626802955441,527.36
2,2,KPQR-2,0.25,0.08944466090734021,527.36
3,0,KO,0.25,0.16984454010551064,515.73
3,1,KPQR-1,0.25,0.10614380693113101,515.73
3,2,KPQR-2,0.25,0.10384621091808764,515.73
4,0,KO,0.25,0.1662702049378595,524.62
4,1,KPQR-1,0.25,0.09529284023887992,524.62
4,2,KPQR-2,0.25,0.09362653367086246,524.62
5,0,KO,0.25,0.16852005254180127,532.97
5,1,KPQR-1,0.25,0.1011946458312742,532.97
5,2,KPQR-2,0.25,0.09913301101614445,532.97
6,0,KO,0.25,0.16035863751950827,518.95
6,1,KPQR-1,0.25,0.09609109191672106,518.95
6,2,KPQR-2,0.25,0.09626120553217618,518.95
7,0,KO,0.25,0.18673860231851422,524.46
7,1,KPQR-1,0.25,0.0951677207699672,524.46
7,2,KPQR-2,0.25,0.09460677003985149,524.46
8,0,KO,0.25,0.17167829184684244,534.83
8,1,KPQR-1,0.25,0.09120919520838264,534.83
8,2,KPQR-2,0.25,0.09297301072909757,534.83
9,0,KO,0.25,0.16762456729546998,518.86
9,1,KPQR-1,0.25,0.09746053398128923,518.86
9,2,KPQR-2,0.25,0.0966030396546301,518.86
10,0,KO,0.25,0.15375318962904969,506.21
10,1,KPQR-1,0.25,0.08424508231745328,506.21
10,2,KPQR-2,0.25,0.08334824853478454,506.21
11,0,KO,0.25,0.14438974605639812,532.08
11,1,KPQR-1,0.25,0.09348354911853476,532.08
11,2,KPQR-2,0.25,0.09360890292872505,532.08
12,0,KO,0.25,0.15813660257484785,515.34
12,1,KPQR-1,0.25,0.0941996658124717,515.34
12,2,KPQR-2,0.25,0.08716229968676177,515.34
13,0,KO,0.25,0.1741362666277319,524.49
13,1,KPQR-1,0.25,0.08907810422179771,524.49
13,2,KPQR-2,0.25,0.08555346847797189,524.49
14,0,KO,0.25,0.16286818150063426,524.58
14,1,KPQR-1,0.25,0.10164328665831146,524.58
14,2,KPQR-2,0.25,0.10081140085568688,524.58
15,0,KO,0.25,0.16263406632171798,512.83
15,1,KPQR-1,0.25,0.09818421202627058,512.83
15,2,KPQR-2,0.25,0.09776146206884359,512.83
16,0,KO,0.25,0.1609582517978376,533.2
16,1,KPQR-1,0.25,0.089566666846735,533.2
16,2,KPQR-2,0.25,0.08668529288343241,533.2
17,0,KO,0.25,0.1661017908659293,536.06
17,1,KPQR-1,0.25,0.08626062242564543,536.06
17,2,KPQR-2,0.25,0.08598377964086266,536.06
18,0,KO,0.25,0.16043147073977224,540.42
18,1,KPQR-1,0.25,0.09866257773274441,540.42
18,2,KPQR-2,0.25,0.09782615092527523,540.42
19,0,KO,0.25,0.15316669219084753,522.15
19,1,KPQR-1,0.25,0.08635059028819805,522.15
19,2,KPQR-2,0.25,0.08632877984094442,522.15
